Year,Month,Tornadoes,Deaths
1996,January,35,1
1996,February,14,1
1996,March,71,6
1996,April,177,12
1996,May,235,1
1996,June,128,0
1996,July,202,1
1996,August,72,0
1996,September,101,0
1996,October,68,0
1996,November,55,2
1996,December,15,1
1997,January,50,2
1997,February,23,1
1997,March,102,28
1997,April,114,1
1997,May,225,29
1997,June,193,0
1997,July,188,4
1997,August,84,1
1997,September,32,1
1997,October,100,0
1997,November,25,0
1997,December,12,0
1998,January,47,0
1998,February,72,42
1998,March,72,16
1998,April,182,55
1998,May,312,10
1998,June,376,3
1998,July,80,0
1998,August,61,0
1998,September,104,2
1998,October,86,2
1998,November,26,0
1998,December,6,0
1999,January,212,18
1999,February,22,0
1999,March,56,1
1999,April,176,15
1999,May,311,53
1999,June,289,4
1999,July,100,0
1999,August,79,1
1999,September,56,0
1999,October,18,0
1999,November,9,0
1999,December,15,2
