x,z,height
-3,-3,0
-3,-2.8,0
-3,-2.6,0
-3,-2.4,0
-3,-2.2,0
-3,-2.0,0
-3,-1.8,0
-3,-1.6,0
-3,-1.4,0
-3,-1.2,0
-3,-1.0,0
-3,-0.8,0
-3,-0.6,0
-3,-0.4,0
-3,-0.2,0
-3,0.0,0
-3,0.2,0
-3,0.4,0
-3,0.6,0
-3,0.8,0
-3,1.0,0
-3,1.2,0
-3,1.4,0
-3,1.6,0
-3,1.8,0
-3,2.0,0
-3,2.2,0
-3,2.4,0
-3,2.6,0
-3,2.8,0
-2.8,-3,0
-2.8,-2.8,0
-2.8,-2.6,0
-2.8,-2.4,0
-2.8,-2.2,0
-2.8,-2.0,0
-2.8,-1.8,0
-2.8,-1.6,0
-2.8,-1.4,0
-2.8,-1.2,0
-2.8,-1.0,0
-2.8,-0.8,0
-2.8,-0.6,0
-2.8,-0.4,0
-2.8,-0.2,0
-2.8,0.0,0
-2.8,0.2,0
-2.8,0.4,0
-2.8,0.6,0
-2.8,0.8,0
-2.8,1.0,0
-2.8,1.2,0
-2.8,1.4,0
-2.8,1.6,0
-2.8,1.8,0
-2.8,2.0,0
-2.8,2.2,0
-2.8,2.4,0
-2.8,2.6,0
-2.8,2.8,0
-2.6,-3,0
-2.6,-2.8,0
-2.6,-2.6,0
-2.6,-2.4,0
-2.6,-2.2,0
-2.6,-2.0,0
-2.6,-1.8,0
-2.6,-1.6,0
-2.6,-1.4,0
-2.6,-1.2,0
-2.6,-1.0,0
-2.6,-0.8,0
-2.6,-0.6,0
-2.6,-0.4,0
-2.6,-0.2,0.00111377514784
-2.6,0.0,0.0011592291739
-2.6,0.2,0.00111377514784
-2.6,0.4,0
-2.6,0.6,0
-2.6,0.8,0
-2.6,1.0,0
-2.6,1.2,0
-2.6,1.4,0
-2.6,1.6,0
-2.6,1.8,0
-2.6,2.0,0
-2.6,2.2,0
-2.6,2.4,0
-2.6,2.6,0
-2.6,2.8,0
-2.4,-3,0
-2.4,-2.8,0
-2.4,-2.6,0
-2.4,-2.4,0
-2.4,-2.2,0
-2.4,-2.0,0
-2.4,-1.8,0
-2.4,-1.6,0
-2.4,-1.4,0
-2.4,-1.2,0
-2.4,-1.0,0.0011592291739
-2.4,-0.8,0.00166155727317
-2.4,-0.6,0.00219845596304
-2.4,-0.4,0.00268520017695
-2.4,-0.2,0.00302755474538
-2.4,0.0,0.00315111159844
-2.4,0.2,0.00302755474538
-2.4,0.4,0.00268520017695
-2.4,0.6,0.00219845596304
-2.4,0.8,0.00166155727317
-2.4,1.0,0.0011592291739
-2.4,1.2,0
-2.4,1.4,0
-2.4,1.6,0
-2.4,1.8,0
-2.4,2.0,0
-2.4,2.2,0
-2.4,2.4,0
-2.4,2.6,0
-2.4,2.8,0
-2.2,-3,0
-2.2,-2.8,0
-2.2,-2.6,0
-2.2,-2.4,0
-2.2,-2.2,0
-2.2,-2.0,0
-2.2,-1.8,0
-2.2,-1.6,0
-2.2,-1.4,0.00111377514784
-2.2,-1.2,0.00187340059422
-2.2,-1.0,0.00290884262581
-2.2,-0.8,0.0041693296979
-2.2,-0.6,0.00551656442076
-2.2,-0.4,0.00673794699909
-2.2,-0.2,0.00759701402758
-2.2,0.0,0.00790705405159
-2.2,0.2,0.00759701402758
-2.2,0.4,0.00673794699909
-2.2,0.6,0.00551656442076
-2.2,0.8,0.0041693296979
-2.2,1.0,0.00290884262581
-2.2,1.2,0.00187340059422
-2.2,1.4,0.00111377514784
-2.2,1.6,0
-2.2,1.8,0
-2.2,2.0,0
-2.2,2.2,0
-2.2,2.4,0
-2.2,2.6,0
-2.2,2.8,0
-2.0,-3,0
-2.0,-2.8,0
-2.0,-2.6,0
-2.0,-2.4,0
-2.0,-2.2,0
-2.0,-2.0,0
-2.0,-1.8,0
-2.0,-1.6,0.00141588571035
-2.0,-1.4,0.00257991197203
-2.0,-1.2,0.00433948327074
-2.0,-1.0,0.00673794699909
-2.0,-0.8,0.00965769762754
-2.0,-0.6,0.0127783876495
-2.0,-0.4,0.01560755792
-2.0,-0.2,0.0175974724156
-2.0,0.0,0.0183156388887
-2.0,0.2,0.0175974724156
-2.0,0.4,0.01560755792
-2.0,0.6,0.0127783876495
-2.0,0.8,0.00965769762754
-2.0,1.0,0.00673794699909
-2.0,1.2,0.00433948327074
-2.0,1.4,0.00257991197203
-2.0,1.6,0.00141588571035
-2.0,1.8,0
-2.0,2.0,0
-2.0,2.2,0
-2.0,2.4,0
-2.0,2.6,0
-2.0,2.8,0
-1.8,-3,0
-1.8,-2.8,0
-1.8,-2.6,0
-1.8,-2.4,0
-1.8,-2.2,0
-1.8,-2.0,0
-1.8,-1.8,0.00153381067932
-1.8,-1.6,0.00302755474538
-1.8,-1.4,0.00551656442076
-1.8,-1.2,0.00927901388706
-1.8,-1.0,0.0144075918431
-1.8,-0.8,0.0206508251817
-1.8,-0.6,0.0273237224473
-1.8,-0.4,0.0333732699603
-1.8,-0.2,0.0376282568072
-1.8,0.0,0.039163895099
-1.8,0.2,0.0376282568072
-1.8,0.4,0.0333732699603
-1.8,0.6,0.0273237224473
-1.8,0.8,0.0206508251817
-1.8,1.0,0.0144075918431
-1.8,1.2,0.00927901388706
-1.8,1.4,0.00551656442076
-1.8,1.6,0.00302755474538
-1.8,1.8,0.00153381067932
-1.8,2.0,0
-1.8,2.2,0
-1.8,2.4,0
-1.8,2.6,0
-1.8,2.8,0
-1.6,-3,0
-1.6,-2.8,0
-1.6,-2.6,0
-1.6,-2.4,0
-1.6,-2.2,0
-1.6,-2.0,0.00141588571035
-1.6,-1.8,0.00302755474538
-1.6,-1.6,0.00597602289501
-1.6,-1.4,0.0108890236686
-1.6,-1.2,0.0183156388887
-1.6,-1.0,0.0284388247142
-1.6,-0.8,0.0407622039784
-1.6,-0.6,0.0539336873004
-1.6,-0.4,0.0658747544264
-1.6,-0.2,0.0742735782143
-1.6,0.0,0.0773047404433
-1.6,0.2,0.0742735782143
-1.6,0.4,0.0658747544264
-1.6,0.6,0.0539336873004
-1.6,0.8,0.0407622039784
-1.6,1.0,0.0284388247142
-1.6,1.2,0.0183156388887
-1.6,1.4,0.0108890236686
-1.6,1.6,0.00597602289501
-1.6,1.8,0.00302755474538
-1.6,2.0,0.00141588571035
-1.6,2.2,0
-1.6,2.4,0
-1.6,2.6,0
-1.6,2.8,0
-1.4,-3,0
-1.4,-2.8,0
-1.4,-2.6,0
-1.4,-2.4,0
-1.4,-2.2,0.00111377514784
-1.4,-2.0,0.00257991197203
-1.4,-1.8,0.00551656442076
-1.4,-1.6,0.0108890236686
-1.4,-1.4,0.0198410947444
-1.4,-1.2,0.0333732699603
-1.4,-1.0,0.0518189171727
-1.4,-0.8,0.0742735782143
-1.4,-0.6,0.0982735856044
-1.4,-0.4,0.120031628511
-1.4,-0.2,0.135335283237
-1.4,0.0,0.140858420921
-1.4,0.2,0.135335283237
-1.4,0.4,0.120031628511
-1.4,0.6,0.0982735856044
-1.4,0.8,0.0742735782143
-1.4,1.0,0.0518189171727
-1.4,1.2,0.0333732699603
-1.4,1.4,0.0198410947444
-1.4,1.6,0.0108890236686
-1.4,1.8,0.00551656442076
-1.4,2.0,0.00257991197203
-1.4,2.2,0.00111377514784
-1.4,2.4,0
-1.4,2.6,0
-1.4,2.8,0
-1.2,-3,0
-1.2,-2.8,0
-1.2,-2.6,0
-1.2,-2.4,0
-1.2,-2.2,0.00187340059422
-1.2,-2.0,0.00433948327074
-1.2,-1.8,0.00927901388706
-1.2,-1.6,0.0183156388887
-1.2,-1.4,0.0333732699603
-1.2,-1.2,0.0561347628341
-1.2,-1.0,0.087160851462
-1.2,-0.8,0.124930212199
-1.2,-0.6,0.165298888222
-1.2,-0.4,0.201896517995
-1.2,-0.2,0.227637688384
-1.2,0.0,0.236927758682
-1.2,0.2,0.227637688384
-1.2,0.4,0.201896517995
-1.2,0.6,0.165298888222
-1.2,0.8,0.124930212199
-1.2,1.0,0.087160851462
-1.2,1.2,0.0561347628341
-1.2,1.4,0.0333732699603
-1.2,1.6,0.0183156388887
-1.2,1.8,0.00927901388706
-1.2,2.0,0.00433948327074
-1.2,2.2,0.00187340059422
-1.2,2.4,0
-1.2,2.6,0
-1.2,2.8,0
-1.0,-3,0
-1.0,-2.8,0
-1.0,-2.6,0
-1.0,-2.4,0.0011592291739
-1.0,-2.2,0.00290884262581
-1.0,-2.0,0.00673794699909
-1.0,-1.8,0.0144075918431
-1.0,-1.6,0.0284388247142
-1.0,-1.4,0.0518189171727
-1.0,-1.2,0.087160851462
-1.0,-1.0,0.135335283237
-1.0,-0.8,0.193980042291
-1.0,-0.6,0.256660776954
-1.0,-0.4,0.313486180883
-1.0,-0.2,0.353454681959
-1.0,0.0,0.367879441171
-1.0,0.2,0.353454681959
-1.0,0.4,0.313486180883
-1.0,0.6,0.256660776954
-1.0,0.8,0.193980042291
-1.0,1.0,0.135335283237
-1.0,1.2,0.087160851462
-1.0,1.4,0.0518189171727
-1.0,1.6,0.0284388247142
-1.0,1.8,0.0144075918431
-1.0,2.0,0.00673794699909
-1.0,2.2,0.00290884262581
-1.0,2.4,0.0011592291739
-1.0,2.6,0
-1.0,2.8,0
-0.8,-3,0
-0.8,-2.8,0
-0.8,-2.6,0
-0.8,-2.4,0.00166155727317
-0.8,-2.2,0.0041693296979
-0.8,-2.0,0.00965769762754
-0.8,-1.8,0.0206508251817
-0.8,-1.6,0.0407622039784
-0.8,-1.4,0.0742735782143
-0.8,-1.2,0.124930212199
-0.8,-1.0,0.193980042291
-0.8,-0.8,0.278037300453
-0.8,-0.6,0.367879441171
-0.8,-0.4,0.449328964117
-0.8,-0.2,0.506616992366
-0.8,0.0,0.527292424043
-0.8,0.2,0.506616992366
-0.8,0.4,0.449328964117
-0.8,0.6,0.367879441171
-0.8,0.8,0.278037300453
-0.8,1.0,0.193980042291
-0.8,1.2,0.124930212199
-0.8,1.4,0.0742735782143
-0.8,1.6,0.0407622039784
-0.8,1.8,0.0206508251817
-0.8,2.0,0.00965769762754
-0.8,2.2,0.0041693296979
-0.8,2.4,0.00166155727317
-0.8,2.6,0
-0.8,2.8,0
-0.6,-3,0
-0.6,-2.8,0
-0.6,-2.6,0
-0.6,-2.4,0.00219845596304
-0.6,-2.2,0.00551656442076
-0.6,-2.0,0.0127783876495
-0.6,-1.8,0.0273237224473
-0.6,-1.6,0.0539336873004
-0.6,-1.4,0.0982735856044
-0.6,-1.2,0.165298888222
-0.6,-1.0,0.256660776954
-0.6,-0.8,0.367879441171
-0.6,-0.6,0.48675225596
-0.6,-0.4,0.59452054797
-0.6,-0.2,0.670320046036
-0.6,0.0,0.697676326071
-0.6,0.2,0.670320046036
-0.6,0.4,0.59452054797
-0.6,0.6,0.48675225596
-0.6,0.8,0.367879441171
-0.6,1.0,0.256660776954
-0.6,1.2,0.165298888222
-0.6,1.4,0.0982735856044
-0.6,1.6,0.0539336873004
-0.6,1.8,0.0273237224473
-0.6,2.0,0.0127783876495
-0.6,2.2,0.00551656442076
-0.6,2.4,0.00219845596304
-0.6,2.6,0
-0.6,2.8,0
-0.4,-3,0
-0.4,-2.8,0
-0.4,-2.6,0
-0.4,-2.4,0.00268520017695
-0.4,-2.2,0.00673794699909
-0.4,-2.0,0.01560755792
-0.4,-1.8,0.0333732699603
-0.4,-1.6,0.0658747544264
-0.4,-1.4,0.120031628511
-0.4,-1.2,0.201896517995
-0.4,-1.0,0.313486180883
-0.4,-0.8,0.449328964117
-0.4,-0.6,0.59452054797
-0.4,-0.4,0.726149037074
-0.4,-0.2,0.818730753078
-0.4,0.0,0.852143788966
-0.4,0.2,0.818730753078
-0.4,0.4,0.726149037074
-0.4,0.6,0.59452054797
-0.4,0.8,0.449328964117
-0.4,1.0,0.313486180883
-0.4,1.2,0.201896517995
-0.4,1.4,0.120031628511
-0.4,1.6,0.0658747544264
-0.4,1.8,0.0333732699603
-0.4,2.0,0.01560755792
-0.4,2.2,0.00673794699909
-0.4,2.4,0.00268520017695
-0.4,2.6,0
-0.4,2.8,0
-0.2,-3,0
-0.2,-2.8,0
-0.2,-2.6,0.00111377514784
-0.2,-2.4,0.00302755474538
-0.2,-2.2,0.00759701402758
-0.2,-2.0,0.0175974724156
-0.2,-1.8,0.0376282568072
-0.2,-1.6,0.0742735782143
-0.2,-1.4,0.135335283237
-0.2,-1.2,0.227637688384
-0.2,-1.0,0.353454681959
-0.2,-0.8,0.506616992366
-0.2,-0.6,0.670320046036
-0.2,-0.4,0.818730753078
-0.2,-0.2,0.923116346387
-0.2,0.0,0.960789439152
-0.2,0.2,0.923116346387
-0.2,0.4,0.818730753078
-0.2,0.6,0.670320046036
-0.2,0.8,0.506616992366
-0.2,1.0,0.353454681959
-0.2,1.2,0.227637688384
-0.2,1.4,0.135335283237
-0.2,1.6,0.0742735782143
-0.2,1.8,0.0376282568072
-0.2,2.0,0.0175974724156
-0.2,2.2,0.00759701402758
-0.2,2.4,0.00302755474538
-0.2,2.6,0.00111377514784
-0.2,2.8,0
0.0,-3,0
0.0,-2.8,0
0.0,-2.6,0.0011592291739
0.0,-2.4,0.00315111159844
0.0,-2.2,0.00790705405159
0.0,-2.0,0.0183156388887
0.0,-1.8,0.039163895099
0.0,-1.6,0.0773047404433
0.0,-1.4,0.140858420921
0.0,-1.2,0.236927758682
0.0,-1.0,0.367879441171
0.0,-0.8,0.527292424043
0.0,-0.6,0.697676326071
0.0,-0.4,0.852143788966
0.0,-0.2,0.960789439152
0.0,0.0,1.0
0.0,0.2,0.960789439152
0.0,0.4,0.852143788966
0.0,0.6,0.697676326071
0.0,0.8,0.527292424043
0.0,1.0,0.367879441171
0.0,1.2,0.236927758682
0.0,1.4,0.140858420921
0.0,1.6,0.0773047404433
0.0,1.8,0.039163895099
0.0,2.0,0.0183156388887
0.0,2.2,0.00790705405159
0.0,2.4,0.00315111159844
0.0,2.6,0.0011592291739
0.0,2.8,0
0.2,-3,0
0.2,-2.8,0
0.2,-2.6,0.00111377514784
0.2,-2.4,0.00302755474538
0.2,-2.2,0.00759701402758
0.2,-2.0,0.0175974724156
0.2,-1.8,0.0376282568072
0.2,-1.6,0.0742735782143
0.2,-1.4,0.135335283237
0.2,-1.2,0.227637688384
0.2,-1.0,0.353454681959
0.2,-0.8,0.506616992366
0.2,-0.6,0.670320046036
0.2,-0.4,0.818730753078
0.2,-0.2,0.923116346387
0.2,0.0,0.960789439152
0.2,0.2,0.923116346387
0.2,0.4,0.818730753078
0.2,0.6,0.670320046036
0.2,0.8,0.506616992366
0.2,1.0,0.353454681959
0.2,1.2,0.227637688384
0.2,1.4,0.135335283237
0.2,1.6,0.0742735782143
0.2,1.8,0.0376282568072
0.2,2.0,0.0175974724156
0.2,2.2,0.00759701402758
0.2,2.4,0.00302755474538
0.2,2.6,0.00111377514784
0.2,2.8,0
0.4,-3,0
0.4,-2.8,0
0.4,-2.6,0
0.4,-2.4,0.00268520017695
0.4,-2.2,0.00673794699909
0.4,-2.0,0.01560755792
0.4,-1.8,0.0333732699603
0.4,-1.6,0.0658747544264
0.4,-1.4,0.120031628511
0.4,-1.2,0.201896517995
0.4,-1.0,0.313486180883
0.4,-0.8,0.449328964117
0.4,-0.6,0.59452054797
0.4,-0.4,0.726149037074
0.4,-0.2,0.818730753078
0.4,0.0,0.852143788966
0.4,0.2,0.818730753078
0.4,0.4,0.726149037074
0.4,0.6,0.59452054797
0.4,0.8,0.449328964117
0.4,1.0,0.313486180883
0.4,1.2,0.201896517995
0.4,1.4,0.120031628511
0.4,1.6,0.0658747544264
0.4,1.8,0.0333732699603
0.4,2.0,0.01560755792
0.4,2.2,0.00673794699909
0.4,2.4,0.00268520017695
0.4,2.6,0
0.4,2.8,0
0.6,-3,0
0.6,-2.8,0
0.6,-2.6,0
0.6,-2.4,0.00219845596304
0.6,-2.2,0.00551656442076
0.6,-2.0,0.0127783876495
0.6,-1.8,0.0273237224473
0.6,-1.6,0.0539336873004
0.6,-1.4,0.0982735856044
0.6,-1.2,0.165298888222
0.6,-1.0,0.256660776954
0.6,-0.8,0.367879441171
0.6,-0.6,0.48675225596
0.6,-0.4,0.59452054797
0.6,-0.2,0.670320046036
0.6,0.0,0.697676326071
0.6,0.2,0.670320046036
0.6,0.4,0.59452054797
0.6,0.6,0.48675225596
0.6,0.8,0.367879441171
0.6,1.0,0.256660776954
0.6,1.2,0.165298888222
0.6,1.4,0.0982735856044
0.6,1.6,0.0539336873004
0.6,1.8,0.0273237224473
0.6,2.0,0.0127783876495
0.6,2.2,0.00551656442076
0.6,2.4,0.00219845596304
0.6,2.6,0
0.6,2.8,0
0.8,-3,0
0.8,-2.8,0
0.8,-2.6,0
0.8,-2.4,0.00166155727317
0.8,-2.2,0.0041693296979
0.8,-2.0,0.00965769762754
0.8,-1.8,0.0206508251817
0.8,-1.6,0.0407622039784
0.8,-1.4,0.0742735782143
0.8,-1.2,0.124930212199
0.8,-1.0,0.193980042291
0.8,-0.8,0.278037300453
0.8,-0.6,0.367879441171
0.8,-0.4,0.449328964117
0.8,-0.2,0.506616992366
0.8,0.0,0.527292424043
0.8,0.2,0.506616992366
0.8,0.4,0.449328964117
0.8,0.6,0.367879441171
0.8,0.8,0.278037300453
0.8,1.0,0.193980042291
0.8,1.2,0.124930212199
0.8,1.4,0.0742735782143
0.8,1.6,0.0407622039784
0.8,1.8,0.0206508251817
0.8,2.0,0.00965769762754
0.8,2.2,0.0041693296979
0.8,2.4,0.00166155727317
0.8,2.6,0
0.8,2.8,0
1.0,-3,0
1.0,-2.8,0
1.0,-2.6,0
1.0,-2.4,0.0011592291739
1.0,-2.2,0.00290884262581
1.0,-2.0,0.00673794699909
1.0,-1.8,0.0144075918431
1.0,-1.6,0.0284388247142
1.0,-1.4,0.0518189171727
1.0,-1.2,0.087160851462
1.0,-1.0,0.135335283237
1.0,-0.8,0.193980042291
1.0,-0.6,0.256660776954
1.0,-0.4,0.313486180883
1.0,-0.2,0.353454681959
1.0,0.0,0.367879441171
1.0,0.2,0.353454681959
1.0,0.4,0.313486180883
1.0,0.6,0.256660776954
1.0,0.8,0.193980042291
1.0,1.0,0.135335283237
1.0,1.2,0.087160851462
1.0,1.4,0.0518189171727
1.0,1.6,0.0284388247142
1.0,1.8,0.0144075918431
1.0,2.0,0.00673794699909
1.0,2.2,0.00290884262581
1.0,2.4,0.0011592291739
1.0,2.6,0
1.0,2.8,0
1.2,-3,0
1.2,-2.8,0
1.2,-2.6,0
1.2,-2.4,0
1.2,-2.2,0.00187340059422
1.2,-2.0,0.00433948327074
1.2,-1.8,0.00927901388706
1.2,-1.6,0.0183156388887
1.2,-1.4,0.0333732699603
1.2,-1.2,0.0561347628341
1.2,-1.0,0.087160851462
1.2,-0.8,0.124930212199
1.2,-0.6,0.165298888222
1.2,-0.4,0.201896517995
1.2,-0.2,0.227637688384
1.2,0.0,0.236927758682
1.2,0.2,0.227637688384
1.2,0.4,0.201896517995
1.2,0.6,0.165298888222
1.2,0.8,0.124930212199
1.2,1.0,0.087160851462
1.2,1.2,0.0561347628341
1.2,1.4,0.0333732699603
1.2,1.6,0.0183156388887
1.2,1.8,0.00927901388706
1.2,2.0,0.00433948327074
1.2,2.2,0.00187340059422
1.2,2.4,0
1.2,2.6,0
1.2,2.8,0
1.4,-3,0
1.4,-2.8,0
1.4,-2.6,0
1.4,-2.4,0
1.4,-2.2,0.00111377514784
1.4,-2.0,0.00257991197203
1.4,-1.8,0.00551656442076
1.4,-1.6,0.0108890236686
1.4,-1.4,0.0198410947444
1.4,-1.2,0.0333732699603
1.4,-1.0,0.0518189171727
1.4,-0.8,0.0742735782143
1.4,-0.6,0.0982735856044
1.4,-0.4,0.120031628511
1.4,-0.2,0.135335283237
1.4,0.0,0.140858420921
1.4,0.2,0.135335283237
1.4,0.4,0.120031628511
1.4,0.6,0.0982735856044
1.4,0.8,0.0742735782143
1.4,1.0,0.0518189171727
1.4,1.2,0.0333732699603
1.4,1.4,0.0198410947444
1.4,1.6,0.0108890236686
1.4,1.8,0.00551656442076
1.4,2.0,0.00257991197203
1.4,2.2,0.00111377514784
1.4,2.4,0
1.4,2.6,0
1.4,2.8,0
1.6,-3,0
1.6,-2.8,0
1.6,-2.6,0
1.6,-2.4,0
1.6,-2.2,0
1.6,-2.0,0.00141588571035
1.6,-1.8,0.00302755474538
1.6,-1.6,0.00597602289501
1.6,-1.4,0.0108890236686
1.6,-1.2,0.0183156388887
1.6,-1.0,0.0284388247142
1.6,-0.8,0.0407622039784
1.6,-0.6,0.0539336873004
1.6,-0.4,0.0658747544264
1.6,-0.2,0.0742735782143
1.6,0.0,0.0773047404433
1.6,0.2,0.0742735782143
1.6,0.4,0.0658747544264
1.6,0.6,0.0539336873004
1.6,0.8,0.0407622039784
1.6,1.0,0.0284388247142
1.6,1.2,0.0183156388887
1.6,1.4,0.0108890236686
1.6,1.6,0.00597602289501
1.6,1.8,0.00302755474538
1.6,2.0,0.00141588571035
1.6,2.2,0
1.6,2.4,0
1.6,2.6,0
1.6,2.8,0
1.8,-3,0
1.8,-2.8,0
1.8,-2.6,0
1.8,-2.4,0
1.8,-2.2,0
1.8,-2.0,0
1.8,-1.8,0.00153381067932
1.8,-1.6,0.00302755474538
1.8,-1.4,0.00551656442076
1.8,-1.2,0.00927901388706
1.8,-1.0,0.0144075918431
1.8,-0.8,0.0206508251817
1.8,-0.6,0.0273237224473
1.8,-0.4,0.0333732699603
1.8,-0.2,0.0376282568072
1.8,0.0,0.039163895099
1.8,0.2,0.0376282568072
1.8,0.4,0.0333732699603
1.8,0.6,0.0273237224473
1.8,0.8,0.0206508251817
1.8,1.0,0.0144075918431
1.8,1.2,0.00927901388706
1.8,1.4,0.00551656442076
1.8,1.6,0.00302755474538
1.8,1.8,0.00153381067932
1.8,2.0,0
1.8,2.2,0
1.8,2.4,0
1.8,2.6,0
1.8,2.8,0
2.0,-3,0
2.0,-2.8,0
2.0,-2.6,0
2.0,-2.4,0
2.0,-2.2,0
2.0,-2.0,0
2.0,-1.8,0
2.0,-1.6,0.00141588571035
2.0,-1.4,0.00257991197203
2.0,-1.2,0.00433948327074
2.0,-1.0,0.00673794699909
2.0,-0.8,0.00965769762754
2.0,-0.6,0.0127783876495
2.0,-0.4,0.01560755792
2.0,-0.2,0.0175974724156
2.0,0.0,0.0183156388887
2.0,0.2,0.0175974724156
2.0,0.4,0.01560755792
2.0,0.6,0.0127783876495
2.0,0.8,0.00965769762754
2.0,1.0,0.00673794699909
2.0,1.2,0.00433948327074
2.0,1.4,0.00257991197203
2.0,1.6,0.00141588571035
2.0,1.8,0
2.0,2.0,0
2.0,2.2,0
2.0,2.4,0
2.0,2.6,0
2.0,2.8,0
2.2,-3,0
2.2,-2.8,0
2.2,-2.6,0
2.2,-2.4,0
2.2,-2.2,0
2.2,-2.0,0
2.2,-1.8,0
2.2,-1.6,0
2.2,-1.4,0.00111377514784
2.2,-1.2,0.00187340059422
2.2,-1.0,0.00290884262581
2.2,-0.8,0.0041693296979
2.2,-0.6,0.00551656442076
2.2,-0.4,0.00673794699909
2.2,-0.2,0.00759701402758
2.2,0.0,0.00790705405159
2.2,0.2,0.00759701402758
2.2,0.4,0.00673794699909
2.2,0.6,0.00551656442076
2.2,0.8,0.0041693296979
2.2,1.0,0.00290884262581
2.2,1.2,0.00187340059422
2.2,1.4,0.00111377514784
2.2,1.6,0
2.2,1.8,0
2.2,2.0,0
2.2,2.2,0
2.2,2.4,0
2.2,2.6,0
2.2,2.8,0
2.4,-3,0
2.4,-2.8,0
2.4,-2.6,0
2.4,-2.4,0
2.4,-2.2,0
2.4,-2.0,0
2.4,-1.8,0
2.4,-1.6,0
2.4,-1.4,0
2.4,-1.2,0
2.4,-1.0,0.0011592291739
2.4,-0.8,0.00166155727317
2.4,-0.6,0.00219845596304
2.4,-0.4,0.00268520017695
2.4,-0.2,0.00302755474538
2.4,0.0,0.00315111159844
2.4,0.2,0.00302755474538
2.4,0.4,0.00268520017695
2.4,0.6,0.00219845596304
2.4,0.8,0.00166155727317
2.4,1.0,0.0011592291739
2.4,1.2,0
2.4,1.4,0
2.4,1.6,0
2.4,1.8,0
2.4,2.0,0
2.4,2.2,0
2.4,2.4,0
2.4,2.6,0
2.4,2.8,0
2.6,-3,0
2.6,-2.8,0
2.6,-2.6,0
2.6,-2.4,0
2.6,-2.2,0
2.6,-2.0,0
2.6,-1.8,0
2.6,-1.6,0
2.6,-1.4,0
2.6,-1.2,0
