Year,miles,gas,emission
1970,5376,2.01,21.1113
1971,5617,1.93,20.9802
1972,5973,1.87,21.7486
1973,6154,1.9,22.5106
1974,5943,2.34,21.5029
1975,6111,2.31,20.4022
1976,6389,2.32,21.1576
1977,6630,2.36,21.5325
1978,6883,2.23,21.973
1979,6744,2.68,21.7804
1980,6672,3.3,20.7865
1981,6732,3.3,19.7668
1982,6835,2.92,18.5905
1983,6943,2.66,18.5715
1984,7130,2.48,18.9768
1985,7323,2.36,18.8823
1986,7558,1.76,18.7207
1987,7770,1.76,19.3503
1988,8089,1.68,20.0104
1989,8397,1.75,20.0758
1990,8529,1.88,19.3228
1991,8535,1.78,19.0562
1992,8662,1.69,19.1394
1993,8855,1.6,19.3471
1994,8909,1.59,19.3609
1995,9150,1.6,19.2765
1996,9192,1.67,19.496
1997,9416,1.65,19.6904
1998,9590,1.39,19.5792
1999,9687,1.5,19.7272
2000,9717,1.89,20.1788
2001,9699,1.77,19.6365
2002,9814,1.64,19.6134
2003,9868,1.86,19.5641
2004,9994,2.14,19.6584
2005,10067,2.53,19.5919
2006,10037,2.79,19.0941
2007,10025,2.95,19.2179
2008,9880,3.31,18.4618
2009,9657,2.38,17.1577
2010,9596,2.61,17.4416
