MAKE/MODEL,PRICE,MILEAGE (MPG),HEAD ROOM (INCHES),READ SEAT ROMM (INCHES),TRUNK SPACE (CUBIC FEET),WEIGHT (POUNDS),LENGTH (INCHES),TURNING CIRCLE (FEET),DISPLACEMENT (CUBIC INCHES),GEAR RATIO
AMC CONCORD,4099,22,2.5,27.5,11,2930,186,40,121,3.58
AMC PACER,4749,17,3,25.5,11,3350,173,40,258,2.53
AMC SPIRIT,3799,22,3,18.5,12,2640,168,35,121,3.08
AUDI 5000,9690,17,3,27,15,2830,189,37,131,3.2
AUDI FOX,6295,23,2.5,28,11,2070,174,36,97,3.7
BMW 320I,9735,25,2.5,26,12,2650,177,34,121,3.64
BUICK ELECTRA,7827,15,4,31.5,20,4080,222,43,350,2.41
BUICK LE SABRE,5788,18,4,30.5,21,3670,218,43,231,2.73
BUICK OPEL,4453,26,3,24,10,2230,170,34,304,2.87
BUICK REGAL,5189,20,2,28.5,16,3280,200,42,196,2.93
BUICK RIVIERA,10372,16,3.5,30,17,3880,207,43,231,2.93
BUICK SKYLARK,4082,19,3.5,27,13,3400,200,42,231,3.08
CAD DEVILLE,11385,14,4,31.5,20,4330,221,44,425,2.28
CAD ELDORADO,14500,14,3.5,30,16,3900,204,43,350,2.19
CAD SEVILLE,15906,21,3,30,13,4290,204,45,350,2.24
CHEV CHEVETTE,3299,29,2.5,26,9,2110,163,34,231,2.93
CHEV IMPALA,5705,16,4,29.5,20,3690,212,43,250,2.56
CHEV MALIBU,4504,22,3.5,28.5,17,3180,193,41,200,2.73
CHEV MONTE CARLO,5104,22,2,28.5,16,3220,200,41,200,2.73
CHEV MONZA,3667,24,2,25,7,2750,179,40,151,2.73
CHEV NOVA,3955,19,3.5,27,13,3430,197,43,250,2.56
