latitude,longitude,value,value1
42.546245,1.601554,3.148977637,3.148977637
23.424076,53.847818,9.563725062,9.563725062
33.93911,67.709953,7.260326865,7.260326865
17.060816,-61.796428,5.623225464,5.623225464
18.220554,-63.068615,9.61927466,9.61927466
41.153332,20.168331,8.270993689,8.270993689
40.069099,45.038189,3.21947546,3.21947546
12.226079,-69.060087,8.131201287,8.131201287
-11.202692,17.873887,5.706878358,5.706878358
-75.250973,-0.071389,9.66958641,9.66958641
-38.416097,-63.616672,6.084911915,6.084911915
-14.270972,-170.132217,2.560683725,2.560683725
47.516231,14.550072,4.501866823,4.501866823
-25.274398,133.775136,4.243333132,4.243333132
12.52111,-69.968338,7.010739683,7.010739683
40.143105,47.576927,9.872328986,9.872328986
43.915886,17.679076,2.74841348,2.74841348
13.193887,-59.543198,4.446921896,4.446921896
23.684994,90.356331,1.450522274,1.450522274
50.503887,4.469936,2.209362493,2.209362493
12.238333,-1.561593,9.680013695,9.680013695
42.733883,25.48583,1.405799188,1.405799188
25.930414,50.637772,8.269045758,8.269045758
-3.373056,29.918886,0.257943286,0.257943286
9.30769,2.315834,2.50305024,2.50305024
32.321384,-64.75737,8.241815166,8.241815166
4.535277,114.727669,5.603720007,5.603720007
-16.290154,-63.588653,6.485285356,6.485285356
-14.235004,-51.92528,8.786050008,8.786050008
25.03428,-77.39628,0.204936787,0.204936787
27.514162,90.433601,7.389305229,7.389305229
-54.423199,3.413194,7.919952993,7.919952993
-22.328474,24.684866,0.996463959,0.996463959
53.709807,27.953389,2.474588409,2.474588409
17.189877,-88.49765,9.233471403,9.233471403
56.130366,-106.346771,9.379905839,9.379905839
-12.164165,96.870956,3.183035788,3.183035788
-4.038333,21.758664,5.85022143,5.85022143
6.611111,20.939444,8.182813133,8.182813133
-0.228021,15.827659,9.589264169,9.589264169
46.818188,8.227512,4.881214105,4.881214105
7.539989,-5.54708,5.027598993,5.027598993
-21.236736,-159.777671,9.603267339,9.603267339
-35.675147,-71.542969,5.689706709,5.689706709
7.369722,12.354722,0.161455256,0.161455256
35.86166,104.195397,8.784558394,8.784558394
4.570868,-74.297333,0.387904555,0.387904555
9.748917,-83.753428,4.737774396,4.737774396
21.521757,-77.781167,9.601285434,9.601285434
16.002082,-24.013197,2.521021087,2.521021087
-10.447525,105.690449,3.551127135,3.551127135
35.126413,33.429859,5.07679925,5.07679925
49.817492,15.472962,9.897003644,9.897003644
51.165691,10.451526,9.969874934,9.969874934
11.825138,42.590275,8.782781335,8.782781335
56.26392,9.501785,0.543774335,0.543774335
15.414999,-61.370976,4.915651095,4.915651095
18.735693,-70.162651,9.392279077,9.392279077
28.033886,1.659626,8.598093595,8.598093595
-1.831239,-78.183406,6.315606656,6.315606656
58.595272,25.013607,6.916826772,6.916826772
26.820553,30.802498,3.668395634,3.668395634
24.215527,-12.885834,2.290225327,2.290225327
15.179384,39.782334,6.780490184,6.780490184
40.463667,-3.74922,3.976560542,3.976560542
9.145,40.489673,6.570203078,6.570203078
61.92411,25.748151,2.110122222,2.110122222
-16.578193,179.414413,6.688716784,6.688716784
-51.796253,-59.523613,3.922809666,3.922809666
7.425554,150.550812,4.512034972,4.512034972
61.892635,-6.911806,0.777321228,0.777321228
46.227638,2.213749,9.572838353,9.572838353
-0.803689,11.609444,6.025434055,6.025434055
55.378051,-3.435973,3.498034219,3.498034219
12.262776,-61.604171,6.385531128,6.385531128
42.315407,43.356892,4.434102538,4.434102538
3.933889,-53.125782,8.127811865,8.127811865
49.465691,-2.585278,3.75482227,3.75482227
7.946527,-1.023194,0.634572515,0.634572515
36.137741,-5.345374,1.505678202,1.505678202
71.706936,-42.604303,9.066636647,9.066636647
13.443182,-15.310139,7.129558154,7.129558154
9.945587,-9.696645,2.027594476,2.027594476
16.995971,-62.067641,5.183237262,5.183237262
1.650801,10.267895,3.911820343,3.911820343
39.074208,21.824312,4.372221705,4.372221705
-54.429579,-36.587909,4.757141645,4.757141645
15.783471,-90.230759,3.884169953,3.884169953
13.444304,144.793731,4.570734998,4.570734998
11.803749,-15.180413,8.678726578,8.678726578
4.860416,-58.93018,8.951848645,8.951848645
31.354676,34.308825,7.718809068,7.718809068
22.396428,114.109497,2.583114709,2.583114709
-53.08181,73.504158,3.698431874,3.698431874
15.199999,-86.241905,5.834178654,5.834178654
45.1,15.2,8.699789617,8.699789617
18.971187,-72.285215,6.761708838,6.761708838
47.162494,19.503304,2.26215315,2.26215315
-0.789275,113.921327,8.155509375,8.155509375
53.41291,-8.24389,8.870983037,8.870983037
31.046051,34.851612,6.096524992,6.096524992
54.236107,-4.548056,4.441115107,4.441115107
20.593684,78.96288,6.829470196,6.829470196
-6.343194,71.876519,3.705611303,3.705611303
33.223191,43.679291,8.174309563,8.174309563
32.427908,53.688046,9.413501808,9.413501808
64.963051,-19.020835,2.635796637,2.635796637
41.87194,12.56738,1.19754013,1.19754013
49.214439,-2.13125,5.71275799,5.71275799
18.109581,-77.297508,4.191538405,4.191538405
30.585164,36.238414,0.695968779,0.695968779
36.204824,138.252924,4.112779549,4.112779549
-0.023559,37.906193,9.463035652,9.463035652
41.20438,74.766098,4.129280343,4.129280343
12.565679,104.990963,3.897239682,3.897239682
-3.370417,-168.734039,1.400588729,1.400588729
-11.875001,43.872219,0.789484295,0.789484295
17.357822,-62.782998,9.622767843,9.622767843
40.339852,127.510093,3.089602685,3.089602685
35.907757,127.766922,4.838240366,4.838240366
29.31166,47.481766,8.971793384,8.971793384
19.513469,-80.566956,1.007300483,1.007300483
48.019573,66.923684,5.016537775,5.016537775
19.85627,102.495496,7.210223386,7.210223386
33.854721,35.862285,5.648387267,5.648387267
13.909444,-60.978893,1.736803567,1.736803567
47.166,9.555373,7.877623423,7.877623423
7.873054,80.771797,5.695673904,5.695673904
6.428055,-9.429499,3.650168129,3.650168129
-29.609988,28.233608,8.426921965,8.426921965
55.169438,23.881275,1.944193067,1.944193067
49.815273,6.129583,7.919338467,7.919338467
